Component,Category,Unit,Country,Source,Year,Volume
Groundwater,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1995,4220
Ice,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1995,1473
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1995,-289
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1995,1316
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1995,-620
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1995,6100
Precipitation,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1995,684986
Total inflows,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1995,684986
Abstraction for hydroelectricity,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1995,182049
Discharge from hydroelectricity generation,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1995,-182049
Evapotranspiration,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1995,120354
To sea and net abstraction,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1995,558532
Total outflows,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1995,678886
Groundwater,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1996,-1220
Ice,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1996,60
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1996,264
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1996,643
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1996,1838
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1996,1584
Precipitation,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1996,701394
Total inflows,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1996,701394
Abstraction for hydroelectricity,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1996,184698
Discharge from hydroelectricity generation,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1996,-184698
Evapotranspiration,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1996,125088
To sea and net abstraction,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1996,574722
Total outflows,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1996,699810
Groundwater,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1997,-2480
Ice,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1997,1214
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1997,-1676
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1997,-3986
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1997,1301
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1997,-5627
Precipitation,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1997,593461
Total inflows,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1997,593461
Abstraction for hydroelectricity,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1997,159743
Discharge from hydroelectricity generation,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1997,-159743
Evapotranspiration,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1997,122180
To sea and net abstraction,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1997,476907
Total outflows,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1997,599087
Groundwater,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1998,-830
Ice,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1998,-1304
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1998,1714
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1998,1709
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1998,-2085
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1998,-796
Precipitation,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1998,603264
Total inflows,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1998,603264
Abstraction for hydroelectricity,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1998,159216
Discharge from hydroelectricity generation,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1998,-159216
Evapotranspiration,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1998,121257
To sea and net abstraction,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1998,482803
Total outflows,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1998,604060
Groundwater,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,-1810
Ice,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,-3462
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,-763
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,-1953
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,1131
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,-6857
Precipitation,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,645603
Total inflows,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,645603
Abstraction for hydroelectricity,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,164673
Discharge from hydroelectricity generation,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,-164673
Evapotranspiration,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,120588
To sea and net abstraction,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,531872
Total outflows,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,652460
Groundwater,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,820
Ice,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,-3082
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,2357
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,1869
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,-610
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,1354
Precipitation,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,619207
Total inflows,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,619207
Abstraction for hydroelectricity,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,151867
Discharge from hydroelectricity generation,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,-151867
Evapotranspiration,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,119478
To sea and net abstraction,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,498374
Total outflows,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,617852
Groundwater,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,290
Ice,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,767
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,-3338
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,508
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,41
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,-1732
Precipitation,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,546821
Total inflows,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,546821
Abstraction for hydroelectricity,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,159661
Discharge from hydroelectricity generation,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,-159661
Evapotranspiration,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,115980
To sea and net abstraction,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,432572
Total outflows,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,548553
Groundwater,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2002,2750
Ice,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2002,-2396
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2002,2124
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2002,1369
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2002,-909
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2002,2938
