Component,Category,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,Unit,Country,Source
Groundwater,Change in storage,4220,-1220,-2480,-830,-1810,820,290,2750,-4480,3060,-3130,-440,-2200,520,2770,2890,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010
Ice,Change in storage,1473,60,1214,-1304,-3462,-3082,767,-2396,950,807,1035,-1209,-327,-2617,-2163,-245,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010
Lakes and reservoirs,Change in storage,-289,264,-1676,1714,-763,2357,-3338,2124,-761,1957,-3336,91,-335,-1184,2836,81,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010
Snow,Change in storage,1316,643,-3986,1709,-1953,1869,508,1369,-3158,1272,-269,1438,-47,398,-1688,945,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010
Soil moisture,Change in storage,-620,1838,1301,-2085,1131,-610,41,-909,845,-1593,1907,-462,-199,-1087,1780,-1514,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010
Total change in storage,Change in storage,6100,1584,-5627,-796,-6857,1354,-1732,2938,-6604,5503,-3793,-581,-3109,-3970,3536,2156,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010
Precipitation,Inflows,684986,701394,593461,603264,645603,619207,546821,614630,569103,664433,565889,587074,568843,551635,651015,613510,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010
Total inflows,Inflows,684986,701394,593461,603264,645603,619207,546821,614630,569103,664433,565889,587074,568843,551635,651015,613510,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010
Abstraction for hydroelectricity,Outflows,182049,184698,159743,159216,164673,151867,159661,140308,160850,167244,170315,143725,154558,143342,155088,156329,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010
Discharge from hydroelectricity generation,Outflows,-182049,-184698,-159743,-159216,-164673,-151867,-159661,-140308,-160850,-167244,-170315,-143725,-154558,-143342,-155088,-156329,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010
Evapotranspiration,Outflows,120354,125088,122180,121257,120588,119478,115980,121657,118545,122628,119220,117729,116081,112415,118374,115625,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010
To sea and net abstraction,Outflows,558532,574722,476907,482803,531872,498374,432572,490035,457162,536302,450462,469926,455871,443190,529105,495729,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010
Total outflows,Outflows,678886,699810,599087,604060,652460,617852,548553,611692,575707,658931,569681,587655,571952,555605,647479,611354,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010
